ts,image_path,vehicle_type,vehicle_id,tire_model_code,tire_position,tire_type,tread_design,operator,session_notes,brightness,glare_ratio,sharpness,edge_density,continuity,score,verdict,tread_verdict,quality_verdict,device_depth_mm,raw_score_verdict,psi_measured,psi_recommended,psi_status,mm_per_px,notes
20260327_082339,/home/charess/tireguard/data/captures/tire_20260327_082339.jpg,Car,redemo,,SPARE,,Directional,rwdemo,,148.33086722021147,0.020562770562770564,340.99251854534634,0.3966361507345114,2233.6,0.2625115463116751,GOOD,GOOD,OK,4.002946169548794,GOOD,25.0,32.0,CRITICAL LOW,,quality_verdict=OK | depth_mm=4.003; raw_score_verdict=GOOD
20260327_082329,/home/charess/tireguard/data/captures/tire_20260327_082329.jpg,Car,redemo,,SPARE,,Directional,rwdemo,,159.6830246256476,0.0431303669008587,472.61539490754006,0.5633915265062807,15877.5,0.2707316105492595,GOOD,GOOD,OK,4.0231857138401494,GOOD,25.0,32.0,CRITICAL LOW,,quality_verdict=OK | depth_mm=4.023; raw_score_verdict=GOOD
20260327_082321,/home/charess/tireguard/data/captures/tire_20260327_082321.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,150.8123499142367,0.032752550329511604,487.66434505956397,0.5248894104902049,7267.75,0.3211234325743102,GOOD,GOOD,OK,4.1472610840951445,GOOD,25.0,32.0,CRITICAL LOW,,quality_verdict=OK | depth_mm=4.147; raw_score_verdict=GOOD
20260327_082320,/home/charess/tireguard/data/captures/tire_20260327_082320.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,156.5121603322199,0.03800668050916313,478.05778988054675,0.5312268664800939,7355.5,0.30209775309561754,GOOD,GOOD,OK,4.100415819708829,GOOD,25.0,32.0,CRITICAL LOW,,quality_verdict=OK | depth_mm=4.100; raw_score_verdict=GOOD
20260327_082102,/home/charess/tireguard/data/captures/tire_20260327_082102.jpg,Car,redemo,,SPARE,,Symmetrical,rwdemo,,174.78510427010923,0.1985555655863501,381.7246285643735,0.2496704883993861,1376.8,0.22932262505221213,GOOD,GOOD,WARNING,3.9212279952866167,GOOD,25.0,32.0,CRITICAL LOW,,Too much glare (glare_ratio=0.199) | quality_verdict=WARNING | depth_mm=3.921; raw_score_verdict=GOOD
20260327_082100,/home/charess/tireguard/data/captures/tire_20260327_082100.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,162.93301435406698,0.10746592037555294,555.5710521508125,0.4101652071860612,3245.285714285714,0.27505012523824085,GOOD,GOOD,WARNING,4.0338188143603215,GOOD,25.0,32.0,CRITICAL LOW,,Too much glare (glare_ratio=0.107) | quality_verdict=WARNING | depth_mm=4.034; raw_score_verdict=GOOD
20260327_082052,/home/charess/tireguard/data/captures/tire_20260327_082052.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,132.13180464024555,0.025223435948361468,267.30698589206196,0.28054527399115287,1553.7,0.2629616335192989,GOOD,GOOD,OK,4.004054379863262,GOOD,25.0,32.0,CRITICAL LOW,,quality_verdict=OK | depth_mm=4.004; raw_score_verdict=GOOD
20260327_082029,/home/charess/tireguard/data/captures/tire_20260327_082029.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,148.32100024938222,0.013443968351130155,357.3207061725634,0.411253939105398,7254.2,0.22642895494208387,GOOD,GOOD,OK,3.9141031647906788,GOOD,25.0,32.0,CRITICAL LOW,,quality_verdict=OK | depth_mm=3.914; raw_score_verdict=GOOD
20260327_082028,/home/charess/tireguard/data/captures/tire_20260327_082028.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,147.22883085084678,0.012151715069486953,341.2595478633557,0.39675009635221836,6996.8,0.22293302654641042,GOOD,GOOD,OK,3.905495446461651,GOOD,25.0,32.0,CRITICAL LOW,,quality_verdict=OK | depth_mm=3.905; raw_score_verdict=GOOD
20260327_082027,/home/charess/tireguard/data/captures/tire_20260327_082027.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,147.21340882813033,0.013222925026638554,376.46591119371203,0.41843501326259946,7380.7,0.22573408239168932,GOOD,GOOD,OK,3.912392240964043,GOOD,25.0,32.0,CRITICAL LOW,,quality_verdict=OK | depth_mm=3.912; raw_score_verdict=GOOD
